lon, lat, freeboard (m), standard deviation, count
-180 81.5 0.155194230769 0.0923563625016	780
-178.5 81.5 0.142216569767 0.0903418733488	1032
-177 81.5 0.155190062112 0.0815599527071	966
-175.5 81.5 0.194176266805 0.0782351204463	967
-174 81.5 0.203288618677 0.0892696776212	1028
-172.5 81.5 0.152809792746 0.0836346813049	965
-171 81.5 0.163086236934 0.0856311322143	1148
-169.5 81.5 0.156208110368 0.0798858120809	1196
-168 81.5 0.150467271835 0.0801074233088	1019
-166.5 81.5 0.174118998628 0.0772941475326	1458
-165 81.5 0.207114773452 0.085539863947	1567
-163.5 81.5 0.216816367445 0.0791111594581	1671
-162 81.5 0.19662817552 0.0894447910721	1732
-160.5 81.5 0.185388243065 0.0967416029264	1514
-159 81.5 0.182441828138 0.0929604203739	1187
-157.5 81.5 0.202176919682 0.0994981886697	1133
-156 81.5 0.193664557486 0.0904106221589	1209
-154.5 81.5 0.197728571429 0.102188602241	1218
-153 81.5 0.221635164494 0.0874545843289	1611
-151.5 81.5 0.222672774708 0.106975589322	1629
-150 81.5 0.220382207384 0.102049743618	1273
-148.5 81.5 0.230220387244 0.116951670622	878
-147 81.5 0.242789128035 0.0959624947899	1812
-145.5 81.5 0.230416849015 0.0954711769738	1828
-144 81.5 0.226135982906 0.0991308376261	1170
-142.5 81.5 0.215602352941 0.0845343780174	1190
-141 81.5 0.206345848708 0.0858213982755	1084
-139.5 81.5 0.221408582949 0.0802761938079	1736
-138 81.5 0.249742811961 0.0785265735301	1739
-136.5 81.5 0.253339014438 0.0975676555558	1593
-135 81.5 0.244305181696 0.0882001414564	1486
-133.5 81.5 0.262902800735 0.0912275259087	1089
-132 81.5 0.314508217101 0.0899930441324	1649
-130.5 81.5 0.377830871341 0.107957051433	1469
-129 81.5 0.351816547278 0.107490867588	1396
-127.5 81.5 0.350285138122 0.126295166581	1810
-126 81.5 0.388540628272 0.134274140823	1910
-124.5 81.5 0.351662227074 0.115398072979	1374
-123 81.5 0.316604552076 0.105975060477	1373
-121.5 81.5 0.309562057221 0.119993865944	1468
-120 81.5 0.272967918455 0.110860478246	1864
-118.5 81.5 0.267581639566 0.113248861625	1476
-117 81.5 0.28031759026 0.125031209109	1191
-115.5 81.5 0.337006838366 0.106656732214	1126
-114 81.5 0.339235660661 0.106810796566	1332
-112.5 81.5 0.2794816253 0.104732395562	1249
-111 81.5 0.288783915575 0.112008894856	1374
-109.5 81.5 0.35508440335 0.110420793973	1433
-108 81.5 0.377118770227 0.103407771155	1854
-106.5 81.5 0.361451092299 0.119300924327	1831
-105 81.5 0.381471264661 0.123896107982	1961
-103.5 81.5 0.378550402685 0.127842740451	1490
-102 81.5 0.449641557669 0.207699578232	841
-100.5 81.5 0.450919548511 0.215248112305	1041
-99 81.5 0.496702491103 0.168878052666	1124
-97.5 81.5 0.478688221154 0.126289105343	832
-96 81.5 0.631706456173 0.131533465174	1061
-94.5 81.5 0.675581144068 0.156070501731	944
-93 81.5 0.509018539326 0.205829723436	178
-91.5 81.5 0.35691802168 0.216424448251	369
-90 81.5 0.383152721088 0.154690468641	147
-88.5 81.5 0.122990909091 0.16182931237	22
-64.5 81.5 0.0686333333333 0.115027471143	18
-63 81.5 -0.00402894736842 0.181064365952	76
-61.5 81.5 0.16795 0.159251619087	12
-22.5 81.5 0.10825 0.257048205596	6
-21 81.5 1.15661153846 0.294707687205	13
-12 81.5 0.564095901639 0.202201918916	183
-10.5 81.5 0.214507894737 0.255688975364	152
-9 81.5 0.195772166247 0.163605524629	397
-7.5 81.5 0.225926539278 0.112069257998	942
-6 81.5 0.192931085526 0.105451144871	1216
-4.5 81.5 0.22867394247 0.116759228268	1182
-3 81.5 0.204807185039 0.126601708436	1016
-1.5 81.5 0.167501857143 0.123872298609	700
0 81.5 0.159624774775 0.117670096292	888
1.5 81.5 0.142935645549 0.11430318942	1247
3 81.5 0.142550099206 0.111081189655	1008
4.5 81.5 0.150474663677 0.112701262083	892
6 81.5 0.132448521647 0.121885926367	947
7.5 81.5 0.142528635779 0.108482896446	777
9 81.5 0.166352106742 0.109191371295	712
10.5 81.5 0.157439583333 0.138932753809	528
12 81.5 0.136507575758 0.145642507595	165
13.5 81.5 0.190152884615 0.144500437225	312
15 81.5 0.0678156716418 0.183969165079	134
16.5 81.5 0.0855581300813 0.135877265975	123
18 81.5 0.24029137931 0.17281317118	232
19.5 81.5 0.0150081395349 0.159027823184	129
21 81.5 0.0656833333333 0.153534476313	33
22.5 81.5 -0.04601 0.184823192538	25
24 81.5 0.196769230769 0.122771817676	26
37.5 81.5 -0.0218071428571 0.0221762528502	7
39 81.5 0.15233 0.136576798908	5
40.5 81.5 0.0722264705882 0.131291905355	17
42 81.5 0.0013625 0.118326954773	32
43.5 81.5 -0.00887105263158 0.116337183493	57
45 81.5 0.0871472972973 0.0733450047019	37
46.5 81.5 0.193316666667 0.162457820167	3
48 81.5 0.185870833333 0.0836710795144	24
49.5 81.5 0.19891 0.0242158625698	5
51 81.5 -0.0203833333333 0.113831366503	9
52.5 81.5 0.02485 0.198674792899	16
54 81.5 -0.0707975247525 0.118956788452	101
55.5 81.5 -0.109419444444 0.115518532918	72
57 81.5 0.0523423076923 0.21078874678	13
58.5 81.5 0.00957352941176 0.162364534033	17
60 81.5 0.0255143636364 0.0895615673481	275
61.5 81.5 -0.00425919220056 0.12952359958	359
63 81.5 -0.0457047368421 0.113290362934	95
64.5 81.5 -0.0714216981132 0.126424736469	53
66 81.5 0.102015217391 0.126979548786	92
67.5 81.5 -0.0283994505495 0.157937082986	182
69 81.5 0.0824615384615 0.121626113197	234
70.5 81.5 0.0149938053097 0.152950200702	226
72 81.5 0.0728923312883 0.12082389332	163
73.5 81.5 -0.00597371134021 0.152835652318	97
75 81.5 0.0689647058824 0.143299825815	102
76.5 81.5 0.0548017857143 0.172612015064	112
78 81.5 0.00654263157895 0.176124764918	95
79.5 81.5 0.0601716216216 0.157288517961	74
81 81.5 0.036806043956 0.158407050815	182
82.5 81.5 -0.00366455399061 0.144041481592	213
84 81.5 0.0188984210526 0.15032364757	190
85.5 81.5 0.0802901515152 0.186501312383	132
87 81.5 0.0915262237762 0.16835930807	143
88.5 81.5 0.00870263157895 0.149926222277	76
90 81.5 0.0326090361446 0.163336700756	83
91.5 81.5 -0.0174888535032 0.144195812668	157
93 81.5 -0.027196 0.156002838241	100
94.5 81.5 -0.0585896551724 0.132274723918	116
96 81.5 0.0248541237113 0.155270522609	97
97.5 81.5 0.0753506622517 0.16385227554	151
99 81.5 0.128144358974 0.139235967917	195
100.5 81.5 0.0640483193277 0.145153302935	119
102 81.5 0.0529830143541 0.121132554186	209
103.5 81.5 0.111348870056 0.0975043882837	531
105 81.5 0.115185046113 0.0892284182148	759
106.5 81.5 0.0833968549422 0.095292931137	779
108 81.5 0.109346804836 0.0875871150891	1158
109.5 81.5 0.149757429421 0.0857209898419	673
111 81.5 0.182183026585 0.0979097651504	978
112.5 81.5 0.15853220339 0.0904692828226	1062
114 81.5 0.141090752351 0.0949111084377	957
115.5 81.5 0.157706024626 0.093540531723	1137
117 81.5 0.158798970588 0.0927568907355	1360
118.5 81.5 0.163128782288 0.0892262681965	1084
120 81.5 0.137391351889 0.0922163883934	1006
121.5 81.5 0.158186447811 0.0995470613932	1188
123 81.5 0.17180869191 0.119912148783	1162
124.5 81.5 0.155231329923 0.124082346823	782
126 81.5 0.11731929982 0.103000664811	557
127.5 81.5 0.0973552132701 0.0959088449479	633
129 81.5 0.11321351551 0.104557285117	677
130.5 81.5 0.0942321474774 0.0989544210882	773
132 81.5 0.092642926045 0.101510974656	933
133.5 81.5 0.107935294118 0.0935954905983	442
135 81.5 0.115177503975 0.0996880386728	629
136.5 81.5 0.125144469357 0.0893245923512	669
138 81.5 0.107935714286 0.0932704259292	1092
139.5 81.5 0.100372260669 0.0864816977285	867
141 81.5 0.0760530748663 0.10939681453	748
142.5 81.5 0.124549617591 0.100007708323	523
144 81.5 0.125094427002 0.0939030233128	637
145.5 81.5 0.119764285714 0.0967791302525	546
147 81.5 0.142602834008 0.0959570956255	494
148.5 81.5 0.100265891473 0.127536832322	258
150 81.5 0.137559034268 0.107941809899	321
151.5 81.5 0.12579469914 0.101038434742	349
153 81.5 0.130747050147 0.107994566994	339
154.5 81.5 0.106103379953 0.102419125007	429
156 81.5 0.129617958271 0.0888449039443	671
157.5 81.5 0.149739941691 0.0993586007033	686
159 81.5 0.13962122807 0.109740650391	570
160.5 81.5 0.177871553398 0.103886759386	515
162 81.5 0.156593426295 0.106665449843	502
163.5 81.5 0.112644350282 0.108733901806	531
165 81.5 0.159546356784 0.108594778819	796
166.5 81.5 0.168410050569 0.111225340647	791
168 81.5 0.19113663522 0.110595568652	636
169.5 81.5 0.193079262926 0.0885300120943	909
171 81.5 0.163634693878 0.0961439597243	784
172.5 81.5 0.152546579247 0.0888495670167	877
174 81.5 0.153686943907 0.0944694069299	517
175.5 81.5 0.156594860814 0.0838130352457	934
177 81.5 0.154752978723 0.0897526721853	705
178.5 81.5 0.168427838577 0.0879639711503	731
-180 81 0.131771428571 0.0776361516562	644
-178.5 81 0.125454806202 0.0930680229015	645
-177 81 0.155635089141 0.107132591434	617
-175.5 81 0.202653521127 0.117871633515	426
-174 81 0.150729017857 0.104401417302	448
-172.5 81 0.160483859649 0.0997707121487	570
-171 81 0.163986944938 0.0893557641276	563
-169.5 81 0.148245748031 0.0832609763751	635
-168 81 0.136110663507 0.0880024256221	633
-166.5 81 0.167175831874 0.0877039830824	1142
-165 81 0.185366112084 0.0850811473433	1142
