lon, lat, freeboard (m), standard deviation, count
-180 86 0.290276462396 0.147594165279	2154
-178.5 86 0.272740934732 0.13634208829	2145
-177 86 0.288173232819 0.144582478355	2139
-175.5 86 0.296963961263 0.140512883597	2091
-174 86 0.271659526266 0.132357897009	2113
-172.5 86 0.276752376344 0.138651366393	2046
-171 86 0.272794477407 0.136083581353	2036
-169.5 86 0.285643289074 0.149222207534	2041
-168 86 0.303150047571 0.146263305464	1997
-166.5 86 0.339057658758 0.147221909721	1981
-165 86 0.347576555337 0.151846216595	2033
-163.5 86 0.346603928671 0.144968841852	2159
-162 86 0.316311540504 0.149397651919	2222
-160.5 86 0.338536624377 0.147996508954	2207
-159 86 0.308840048379 0.14510912998	2067
-157.5 86 0.356107227273 0.144555112638	1958
-156 86 0.312480166832 0.140238127709	2014
-154.5 86 0.312126248913 0.136950388028	2069
-153 86 0.313201212463 0.143026535244	2038
-151.5 86 0.341302170433 0.136590177938	2124
-150 86 0.306071583259 0.146573740809	2246
-148.5 86 0.307653524457 0.143907794809	2208
-147 86 0.306737492531 0.154831809497	2209
-145.5 86 0.353661919332 0.160063228196	2157
-144 86 0.370763785988 0.144091189478	2084
-142.5 86 0.320571138599 0.150141692535	2013
-141 86 0.353925384653 0.161976531073	2020
-139.5 86 0.361305973937 0.164231657357	2187
-138 86 0.349543647386 0.161643805331	2334
-136.5 86 0.396623629459 0.159338275744	2383
-135 86 0.388311648742 0.156021168165	2306
-133.5 86 0.351322425985 0.153684774823	2209
-132 86 0.358041709091 0.159580662548	2035
-130.5 86 0.390742072405 0.151596174936	1975
-129 86 0.379667513109 0.15597311404	2136
-127.5 86 0.377630788427 0.163326248172	2212
-126 86 0.370084704496 0.157380079545	2291
-124.5 86 0.36268661879 0.165111690232	2214
-123 86 0.316202737252 0.158500639129	2314
-121.5 86 0.367926618878 0.174935092033	2246
-120 86 0.415712009906 0.169926207194	2120
-118.5 86 0.358196748615 0.165586874471	1985
-117 86 0.365482390078 0.170016036845	1915
-115.5 86 0.361757046958 0.173095684452	1874
-114 86 0.361018442088 0.178735560969	1839
-112.5 86 0.362019512307 0.173036199223	1747
-111 86 0.396920420322 0.199940040097	1801
-109.5 86 0.418057898465 0.206729471949	1694
-108 86 0.394584615773 0.176558528199	1585
-106.5 86 0.388685446328 0.19668182792	1416
-105 86 0.348159244873 0.183583041895	1609
-103.5 86 0.366056131778 0.169246090785	1715
-102 86 0.394479144928 0.169821562622	1725
-100.5 86 0.442791037694 0.170549934137	1804
-99 86 0.388584547412 0.168582287729	1951
-97.5 86 0.392162891156 0.180940634841	1911
-96 86 0.441547465625 0.185568510689	1920
-94.5 86 0.418792496454 0.173012377004	1833
-93 86 0.43079448581 0.18308998337	1797
-91.5 86 0.444341619334 0.181680307223	1831
-90 86 0.435437191345 0.182643954973	1918
-88.5 86 0.448132411797 0.187052198016	1814
-87 86 0.466537344121 0.193085263622	1854
-85.5 86 0.492115939845 0.194154512172	1812
-84 86 0.509582823903 0.196650417507	1891
-82.5 86 0.50951789346 0.203651188299	1896
-81 86 0.516825440909 0.19951680477	1980
-79.5 86 0.511872039744 0.208511955389	2189
-78 86 0.515627629812 0.222331202819	2234
-76.5 86 0.520704477599 0.212859632202	2299
-75 86 0.510898835687 0.209593015616	2337
-73.5 86 0.491423435141 0.204104752525	2305
-72 86 0.524941808267 0.195293324787	2274
-70.5 86 0.585848900226 0.190978009772	2215
-69 86 0.49364656108 0.203084848879	2112
-67.5 86 0.481389784637 0.200737798426	2122
-66 86 0.4812467011 0.191725280512	2091
-64.5 86 0.491283939477 0.189129891205	2181
-63 86 0.596551740987 0.197950184072	2108
-61.5 86 0.627236739039 0.198445627786	1893
-60 86 0.661706154839 0.208670729439	1860
-58.5 86 0.57120725817 0.228589816672	1836
-57 86 0.413009045242 0.2171240325	1923
-55.5 86 0.592833366852 0.259347507676	1979
-54 86 0.924258616992 0.22199916926	2154
-52.5 86 0.66888698223 0.235718602267	2251
-51 86 0.482751924495 0.219865477712	2278
-49.5 86 0.522210823005 0.230899492916	2243
-48 86 0.564380256015 0.222826795871	2203
-46.5 86 0.565464479712 0.217261209246	1947
-45 86 0.609299244887 0.225561603913	1858
-43.5 86 0.566848929866 0.219562015031	1711
-42 86 0.524856969388 0.227254076987	1764
-40.5 86 0.513411535809 0.224101051688	1885
-39 86 0.522601047935 0.214975399503	1961
-37.5 86 0.515196592277 0.199746740429	1994
-36 86 0.556202248734 0.216605540128	1974
-34.5 86 0.57342586258 0.211373653054	2023
-33 86 0.548684002309 0.223047183848	2165
-31.5 86 0.53009872741 0.220688286165	1992
-30 86 0.498121804394 0.222743765075	1866
-28.5 86 0.539309294053 0.219243182789	1833
-27 86 0.53416189823 0.21388579242	1808
-25.5 86 0.529069717574 0.210246903578	1781
-24 86 0.505296114983 0.223518531767	1722
-22.5 86 0.5502851693 0.214260601273	1772
-21 86 0.552373771429 0.233982025256	1820
-19.5 86 0.503727581179 0.223301910055	1934
-18 86 0.529414173769 0.203800944935	1807
-16.5 86 0.502570875 0.203867609777	1680
-15 86 0.483298727394 0.177492408977	1504
-13.5 86 0.512966656678 0.189524252847	1535
-12 86 0.489525607537 0.182197885837	1539
-10.5 86 0.446613458574 0.176968414953	1557
-9 86 0.47677427907 0.186223268563	1634
-7.5 86 0.492883554426 0.194378706421	1672
-6 86 0.513854558061 0.205273874594	1774
-4.5 86 0.492404090348 0.206534729828	1782
-3 86 0.441145984027 0.186852122771	1753
-1.5 86 0.39194625 0.210501357036	1804
0 86 0.955509948575 0.267479930674	1789
1.5 86 0.380267213598 0.223881927838	1765
3 86 0.442687429296 0.191113353023	1775
4.5 86 0.528207034158 0.178770898552	1698
6 86 0.466832334967 0.185603680554	1836
7.5 86 0.486017987811 0.197900660297	1887
9 86 0.435637646789 0.186799806818	1962
10.5 86 0.408133079083 0.177813458901	1745
12 86 0.462830973151 0.184176010044	1825
13.5 86 0.451486917515 0.174656320007	1867
15 86 0.447523586226 0.184751958117	1844
16.5 86 0.444216849893 0.173869378967	1872
18 86 0.39915334765 0.179292055986	1979
19.5 86 0.46204128946 0.185629022572	1983
21 86 0.439891870654 0.182325958224	1956
22.5 86 0.419071159886 0.16804769862	2114
24 86 0.443436894477 0.167797761442	2227
25.5 86 0.416296222071 0.164368552846	2211
27 86 0.405759144235 0.155892917215	2073
28.5 86 0.400111389173 0.163664098887	1958
30 86 0.406008715051 0.1717922678	1867
31.5 86 0.443286765453 0.161384466321	1812
33 86 0.421375223917 0.159286192787	1639
34.5 86 0.386676387377 0.160717564873	1727
36 86 0.407137023573 0.163842129873	1909
37.5 86 0.410212841155 0.15742724905	1939
39 86 0.429663242024 0.158853185462	1818
40.5 86 0.401704276013 0.153552721935	1826
42 86 0.426398735613 0.160739100684	1842
43.5 86 0.431478960044 0.176645106128	1827
45 86 0.406779576037 0.166278906611	1736
46.5 86 0.435038833868 0.173536390001	1872
48 86 0.467437215987 0.194061926442	1889
49.5 86 0.417233144957 0.184418977586	1973
51 86 0.426502582492 0.186022442014	2079
52.5 86 0.435851961058 0.172447618139	2080
54 86 0.435213205575 0.174292246179	2009
55.5 86 0.403088665231 0.16258958619	1858
57 86 0.43776478831 0.178820059812	1899
58.5 86 0.437449476668 0.172188923224	1993
60 86 0.411287969609 0.154200543196	2073
61.5 86 0.383750094534 0.165198254636	2232
63 86 0.417198921314 0.149610961382	2313
64.5 86 0.4104145662 0.15052511371	2213
66 86 0.404907433002 0.15048864243	2418
67.5 86 0.409344839112 0.157736942322	2567
69 86 0.368807792668 0.153188216452	2455
70.5 86 0.394894047295 0.146715132044	2495
72 86 0.408227118104 0.157088726655	2447
73.5 86 0.365265462887 0.153528383128	2452
75 86 0.362569963435 0.141360712318	2434
76.5 86 0.364501047985 0.150858749798	2605
78 86 0.398490685797 0.15632120083	2753
79.5 86 0.374707320088 0.151730023055	2718
81 86 0.37221409576 0.160905092054	2736
82.5 86 0.342494221045 0.160800012086	2737
84 86 0.385763135778 0.161637676499	2563
85.5 86 0.352193863222 0.157616969768	2632
87 86 0.384214953351 0.15852338684	2701
88.5 86 0.382591895465 0.158116958577	2602
90 86 0.319200302607 0.141373447453	2647
91.5 86 0.376830673469 0.147359341483	2646
93 86 0.406180858974 0.14984717724	2652
94.5 86 0.381337663672 0.154232029164	2560
96 86 0.355946185292 0.145932120151	2434
97.5 86 0.315551382018 0.149452755356	2458
99 86 0.360423401205 0.148998270655	2323
100.5 86 0.407452248429 0.138629729288	2387
102 86 0.370545648915 0.145736859405	2535
103.5 86 0.340039308866 0.132549689681	2425
105 86 0.371106838205 0.139410904461	2429
106.5 86 0.328130233267 0.139351133469	2525
108 86 0.314926554642 0.132044870498	2553
109.5 86 0.334469723412 0.137814585237	2614
111 86 0.370680493985 0.143845885487	2577
112.5 86 0.371184042518 0.142204349263	2399
114 86 0.356583517833 0.155400784388	2215
115.5 86 0.364295831038 0.157858070011	2178
117 86 0.383579133305 0.154908165958	2348
118.5 86 0.380173857521 0.155745959018	2267
120 86 0.348288678322 0.142094711773	2288
121.5 86 0.36571313016 0.142431070016	2374
123 86 0.350066528441 0.141845595653	2303
124.5 86 0.363488655969 0.143655324513	2337
126 86 0.336510819638 0.136642674937	2373
127.5 86 0.323409036356 0.139019448207	2448
129 86 0.327927716121 0.13570227845	2413
130.5 86 0.390852397806 0.149882953326	2461
132 86 0.378526450339 0.154928420486	2507
133.5 86 0.310792117671 0.156081580498	2439
135 86 0.337952402483 0.158606817166	2497
136.5 86 0.356418729967 0.173741028046	2396
138 86 0.437375104061 0.178520791463	2364
139.5 86 0.465707314383 0.197293624223	2357
141 86 0.435791122449 0.19186167386	2352
142.5 86 0.369690182756 0.186314654998	2424
144 86 0.327718485645 0.178009492869	2473
145.5 86 0.400866186822 0.198879054091	2489
147 86 0.422755319616 0.20431485896	2503
148.5 86 0.426614951403 0.209840634671	2531
150 86 0.406135226364 0.205347694331	2602
151.5 86 0.396647346105 0.204960679551	2375
153 86 0.408206542773 0.215509440103	2373
154.5 86 0.424937447357 0.203873646277	2365
156 86 0.392122864554 0.185024959573	2525
157.5 86 0.360042461538 0.197092710264	2405
159 86 0.376081471872 0.203267985212	2382
160.5 86 0.396041128502 0.181730068415	2249
162 86 0.386681034591 0.187714131685	2226
163.5 86 0.366516436257 0.192688146021	2212
165 86 0.325521806994 0.177316373021	2202
166.5 86 0.340623688666 0.166202277413	2091
168 86 0.349192104265 0.159969894932	2110
169.5 86 0.320350444061 0.157460869222	2029
171 86 0.334599148165 0.161165047328	2153
172.5 86 0.319863281785 0.151421994981	2218
174 86 0.315599361712 0.144920268899	2220
175.5 86 0.316038805997 0.142668437973	2201
177 86 0.285141545455 0.145882951682	2464
178.5 86 0.303820120051 0.148813141254	2349
-180 85.5 0.334714593528 0.158992851009	1545
-178.5 85.5 0.331772362129 0.154137623537	1447
-177 85.5 0.333811092697 0.146444488648	1424
-175.5 85.5 0.295265553623 0.152178799481	1380
-174 85.5 0.293933945517 0.134917184793	1450
-172.5 85.5 0.345122422507 0.139806831776	1484
-171 85.5 0.308443677943 0.145157404866	1478
-169.5 85.5 0.30171658797 0.136196455747	1330
-168 85.5 0.339981016075 0.145151621831	1493
-166.5 85.5 0.334759752431 0.151503634008	1337
-165 85.5 0.30101888947 0.145061667671	1339
-163.5 85.5 0.319328775421 0.152230991403	1367
-162 85.5 0.366970834889 0.150107191855	1393
-160.5 85.5 0.327416348837 0.13958430013	1462
-159 85.5 0.326532171429 0.144806103152	1575
-157.5 85.5 0.345671843495 0.147097771993	1591
-156 85.5 0.297358680157 0.147565239799	1532
-154.5 85.5 0.330692438365 0.148645508988	1517
-153 85.5 0.351879809091 0.149351500555	1430
-151.5 85.5 0.299733171429 0.142470074316	1540
-150 85.5 0.313095417996 0.141991723157	1567
-148.5 85.5 0.298060637431 0.157539387155	1619
-147 85.5 0.306000196141 0.153738475927	1555
-145.5 85.5 0.315378831117 0.147552809329	1504
-144 85.5 0.341374724427 0.145815743573	1310
-142.5 85.5 0.319959468626 0.142596812902	1259
-141 85.5 0.355863445765 0.159237202171	1346
-139.5 85.5 0.340205874384 0.145311315555	1218
-138 85.5 0.361957701593 0.161883895796	1193
-136.5 85.5 0.37267820997 0.171862795154	1324
-135 85.5 0.39425384863 0.167905340093	1460
-133.5 85.5 0.386136231063 0.159708975521	1571
-132 85.5 0.357298408426 0.156573855412	1709
-130.5 85.5 0.393207886023 0.169510355087	1667
-129 85.5 0.414673951204 0.154827741832	1578
-127.5 85.5 0.386597868975 0.149361045717	1473
-126 85.5 0.395508841463 0.171850031096	1558
-124.5 85.5 0.365964924713 0.166439716033	1740
-123 85.5 0.335932441372 0.152436505978	1808
-121.5 85.5 0.404701589347 0.169758786477	1746
-120 85.5 0.458541599475 0.178276101299	1523
-118.5 85.5 0.409350710654 0.179076208214	1652
-117 85.5 0.369865440406 0.171947112641	1871
-115.5 85.5 0.388874228214 0.176625398645	1836
-114 85.5 0.366614784043 0.169623128787	1667
-112.5 85.5 0.363265193287 0.192663499697	1728
-111 85.5 0.404048259878 0.183352044947	1797
-109.5 85.5 0.432639824653 0.176032956827	1728
-108 85.5 0.420083625741 0.180890150693	1686
-106.5 85.5 0.441086877027 0.183121039898	1480
-105 85.5 0.374780475884 0.207533972861	1244
-103.5 85.5 0.415684972711 0.197099007251	1136
-102 85.5 0.432457952381 0.186802613218	1029
-100.5 85.5 0.450929190963 0.189990140157	1173
-99 85.5 0.464098311877 0.19057556582	1103
-97.5 85.5 0.471167871649 0.192136199017	1231
-96 85.5 0.52011000417 0.205548094349	1199
-94.5 85.5 0.480428684435 0.208481896773	1407
-93 85.5 0.496480010253 0.219875713439	1463
-91.5 85.5 0.537415901062 0.227438858488	1506
-90 85.5 0.50405789243 0.211012539551	1506
-88.5 85.5 0.533612415198 0.216457783385	1645
-87 85.5 0.527176643025 0.225790390238	1706
-85.5 85.5 0.543062803475 0.212964788519	1669
-84 85.5 0.556756281646 0.22912817444	1580
-82.5 85.5 0.537488105764 0.236419321554	1683
-81 85.5 0.530275752508 0.235030488819	1495
-79.5 85.5 0.553378884777 0.236442340447	1432
